R_version	name	version	date_time	hash	binary_location	status
4.2.3	conflicted	1.2.0	2023-05-10T00:21:19Z	dc7e93ebc2a3003f826311c361846107	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/conflicted/1.2.0/dc7e93ebc2a3003f826311c361846107/conflicted	active
4.2.3	cpp11	0.4.3	2023-04-16T23:51:13Z	6cd1138d91b7e5f8356e4c0afcb1aae7	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/cpp11/0.4.3/6cd1138d91b7e5f8356e4c0afcb1aae7/cpp11	available
4.2.3	crayon	1.5.2	2023-04-16T23:51:14Z	115ea320106a49fc87d695ac87dee226	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/crayon/1.5.2/115ea320106a49fc87d695ac87dee226/crayon	available
4.2.3	credentials	1.3.2	2023-04-16T23:51:15Z	be2b00705987df279082b63d7d7f4f7a	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/credentials/1.3.2/be2b00705987df279082b63d7d7f4f7a/credentials	available
4.2.3	curl	5.0.0	2023-04-16T23:51:17Z	63273495aa28165b1405e7655df389d3	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/curl/5.0.0/63273495aa28165b1405e7655df389d3/curl	available
4.2.3	data.table	1.14.8	2023-05-10T00:21:25Z	2df621a462db6492088d31173a9d1c28	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/data.table/1.14.8/2df621a462db6492088d31173a9d1c28/data.table	available
4.2.3	datasets	4.2.3	2023-04-16T23:51:18Z	5e3012fee14a2482bf95805c98b0505a	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/datasets/4.2.3/5e3012fee14a2482bf95805c98b0505a/datasets	base
4.2.3	DBI	1.1.3	2023-05-10T00:21:29Z	d01ce5aef74fd929409a8dcf7f0ae37b	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/DBI/1.1.3/d01ce5aef74fd929409a8dcf7f0ae37b/DBI	available
4.2.3	dbplyr	2.3.2	2023-05-10T00:21:31Z	16d5ffb4bc9dc4fdace14439cc3db8ca	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/dbplyr/2.3.2/16d5ffb4bc9dc4fdace14439cc3db8ca/dbplyr	available
4.2.3	desc	1.4.2	2023-04-16T23:51:18Z	55051381db14c7277637703f9e870c5f	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/desc/1.4.2/55051381db14c7277637703f9e870c5f/desc	available
